State,Action,QValue
HPState: 2; ManaState: 0; LevelState: 3,DivineSmite(Skelleton3),7.45998
HPState: 2; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion1),-0.04505391
HPState: 2; ManaState: 0; LevelState: 3,DivineSmite(Skelleton4),0.9804338
HPState: 2; ManaState: 0; LevelState: 3,DivineSmite(Skelleton1),3.393434
HPState: 2; ManaState: 7; LevelState: 3,PickUpChest(Chest4),7.093846
HPState: 2; ManaState: 7; LevelState: 3,DivineSmite(Skelleton4),6.51532
HPState: 2; ManaState: 7; LevelState: 3,GetHealthPotion(HealthPotion0),-0.6672625
HPState: 2; ManaState: 7; LevelState: 3,GetHealthPotion(HealthPotion1),-0.2622
HPState: 2; ManaState: 7; LevelState: 3,Teleport,20.3823
HPState: 2; ManaState: 7; LevelState: 3,GetManaPotion(ManaPotion0),-0.0149358
HPState: 2; ManaState: 7; LevelState: 3,PickUpChest(Chest1),0.4530393
HPState: 2; ManaState: 7; LevelState: 3,PickUpChest(Chest3),8.452494
HPState: 2; ManaState: 7; LevelState: 3,PickUpChest(Chest0),1.242959
HPState: 2; ManaState: 7; LevelState: 3,ShieldOfFaith,3.846242
HPState: 2; ManaState: 7; LevelState: 3,PickUpChest(Chest2),-0.04298526
HPState: 2; ManaState: 7; LevelState: 3,DivineSmite(Skelleton1),3.76974
HPState: 2; ManaState: 7; LevelState: 3,DivineSmite(Skelleton3),1.373821
HPState: 2; ManaState: 7; LevelState: 3,DivineSmite(Skelleton2),0.4053126
HPState: 1; ManaState: 0; LevelState: 3,PickUpChest(Chest2),13.15387
HPState: 1; ManaState: 0; LevelState: 3,PickUpChest(Chest0),15.42153
HPState: 1; ManaState: 0; LevelState: 3,PickUpChest(Chest1),10.8097
HPState: 1; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion0),0.8951123
HPState: 1; ManaState: 0; LevelState: 3,PickUpChest(Chest4),24.94409
HPState: 1; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion0),-10.71794
HPState: 1; ManaState: 0; LevelState: 3,PickUpChest(Chest3),23.18423
HPState: 1; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion1),-6.86715
HPState: 1; ManaState: 0; LevelState: 3,DivineSmite(Skelleton1),-5.4
HPState: 1; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion1),2.633707
HPState: 1; ManaState: 0; LevelState: 3,DivineSmite(Skelleton4),-4.006529
HPState: 1; ManaState: 0; LevelState: 3,DivineSmite(Skelleton3),-3.32917
HPState: 0; ManaState: 0; LevelState: 3,PickUpChest(Chest4),-11.81208
HPState: 0; ManaState: 0; LevelState: 3,PickUpChest(Chest0),-2.553783
HPState: 0; ManaState: 0; LevelState: 3,GetHealthPotion(HealthPotion0),-3.519551
HPState: 0; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion0),-0.1686899
HPState: 0; ManaState: 0; LevelState: 3,PickUpChest(Chest1),8.402777
HPState: 0; ManaState: 0; LevelState: 3,PickUpChest(Chest3),3.26185
HPState: 0; ManaState: 0; LevelState: 3,PickUpChest(Chest2),1.143188
HPState: 0; ManaState: 0; LevelState: 3,GetManaPotion(ManaPotion1),-5.34
HPState: 0; ManaState: 7; LevelState: 3,DivineSmite(Skelleton1),-0.36
HPState: 0; ManaState: 7; LevelState: 3,PickUpChest(Chest4),-5.38
HPState: 0; ManaState: 7; LevelState: 3,PickUpChest(Chest0),1.257924
HPState: 0; ManaState: 7; LevelState: 3,ShieldOfFaith,1.753841
