State,Action,QValue
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest3),-1.808255
HPState: 2; ManaState: 7; LevelState: 2,PickUpChest(Chest1),-9.26173
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Skelleton1),-0.2376621
HPState: 2; ManaState: 7; LevelState: 2,ShieldOfFaith,-1.487424
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton2),-0.1374979
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton0),-0.01757621
HPState: 2; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion1),-0.314959
HPState: 2; ManaState: 7; LevelState: 2,LevelUp,-1.077821
HPState: 2; ManaState: 7; LevelState: 2,SwordAttack(Orc2),-8.950684
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton3),-0.7444406
HPState: 2; ManaState: 7; LevelState: 2,GetHealthPotion(HealthPotion0),-3.914855
HPState: 2; ManaState: 7; LevelState: 2,GetManaPotion(ManaPotion1),-7.900679E-05
HPState: 2; ManaState: 7; LevelState: 2,DivineSmite(Skelleton1),-0.07356372
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Orc0),-4.386117
HPState: 2; ManaState: 0; LevelState: 2,PickUpChest(Chest0),-0.3556169
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Skelleton4),-0.2710883
HPState: 2; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),-8.648409
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Orc2),-5.12108
HPState: 2; ManaState: 0; LevelState: 2,PickUpChest(Chest1),-4.270409
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Skelleton0),0.1637453
HPState: 2; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),-2.113714
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Skelleton1),-0.2764942
HPState: 2; ManaState: 0; LevelState: 2,LevelUp,3.600534
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton4),0.5060849
HPState: 2; ManaState: 0; LevelState: 2,PickUpChest(Chest4),-39.36977
HPState: 2; ManaState: 0; LevelState: 2,PickUpChest(Chest3),-2.947963
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Mighty Dragon),-39.43794
HPState: 2; ManaState: 0; LevelState: 2,PickUpChest(Chest2),-1.317993
HPState: 2; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),-0.05191603
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Skelleton2),-0.2340516
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Orc1),-16.52169
HPState: 2; ManaState: 0; LevelState: 2,SwordAttack(Skelleton3),-5.937776
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton0),-5.101126
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton3),-4.74752
HPState: 2; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion1),-0.1475883
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton2),-0.1042791
HPState: 2; ManaState: 0; LevelState: 2,DivineSmite(Skelleton1),0.2198542
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton2),-6.556666
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest0),-13.3336
HPState: 0; ManaState: 7; LevelState: 1,ShieldOfFaith,-0.1736504
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Orc1),-37.37729
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Orc0),-40.64938
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton3),-3.443128
HPState: 0; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion0),-23.03972
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest1),-25.70141
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Skelleton3),-39.08671
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Skelleton2),-16.24638
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest3),-15.00373
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Skelleton1),-11.95764
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Skelleton0),-32.29436
HPState: 0; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion0),0
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest4),-43.41356
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Skelleton4),-15.22293
HPState: 0; ManaState: 7; LevelState: 1,LevelUp,-11.12082
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton4),-3.52028
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Mighty Dragon),-47.1522
HPState: 0; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion1),-7.950575
HPState: 0; ManaState: 7; LevelState: 1,PickUpChest(Chest2),-15.59381
HPState: 0; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion1),-0.02657828
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton1),-12.69531
HPState: 0; ManaState: 7; LevelState: 1,SwordAttack(Orc2),-37.53569
HPState: 0; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),-16.54604
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Skelleton3),-1.107207
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Mighty Dragon),-2.410138
HPState: 13; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),-0.2568916
HPState: 13; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),-1.132733
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest3),-2.150782
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Orc1),-1.228206
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest4),-12.07069
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest2),-0.9916144
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Orc0),-0.1324135
HPState: 13; ManaState: 0; LevelState: 2,LevelUp,-1.099639
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Skelleton2),-0.05421474
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Skelleton4),-0.2802494
HPState: 13; ManaState: 0; LevelState: 2,GetHealthPotion(HealthPotion0),-0.2618117
HPState: 13; ManaState: 0; LevelState: 2,SwordAttack(Skelleton1),-0.2150325
HPState: 13; ManaState: 0; LevelState: 2,PickUpChest(Chest1),-2.132468
HPState: 13; ManaState: 0; LevelState: 2,DivineSmite(Skelleton3),-0.0582825
